"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
DAGGETT.C,20180101,2359,0.00,,60,34,,,,,,,,,,,,,,
DAGGETT.C,20180102,2359,0.01,,61,35,,,,,,,,,,,,,,
DAGGETT.C,20180103,2359,0.04,,59,36,,,,,,,,,,,,,,
DAGGETT.C,20180104,2359,0.07,,59,35,,,,,,,,,,,,,,
DAGGETT.C,20180105,2359,0.03,,59,36,,,,,,,,,,,,,,
DAGGETT.C,20180106,2359,0.02,,59,36,,,,,,,,,,,,,,
DAGGETT.C,20180107,2359,0.07,,60,35,,,,,,,,,,,,,,
DAGGETT.C,20180108,2359,0.01,,60,35,,,,,,,,,,,,,,
DAGGETT.C,20180109,2359,0.02,,61,35,,,,,,,,,,,,,,
DAGGETT.C,20180110,2359,0.05,,62,36,,,,,,,,,,,,,,
DAGGETT.C,20180111,2359,0.03,,62,37,,,,,,,,,,,,,,
DAGGETT.C,20180112,2359,0.01,,61,37,,,,,,,,,,,,,,
DAGGETT.C,20180113,2359,0.00,,62,36,,,,,,,,,,,,,,
DAGGETT.C,20180114,2359,0.01,,63,36,,,,,,,,,,,,,,
DAGGETT.C,20180115,2359,0.03,,61,37,,,,,,,,,,,,,,
DAGGETT.C,20180116,2359,0.02,,61,38,,,,,,,,,,,,,,
DAGGETT.C,20180117,2359,0.03,,62,37,,,,,,,,,,,,,,
DAGGETT.C,20180118,2359,0.01,,63,37,,,,,,,,,,,,,,
DAGGETT.C,20180119,2359,0.02,,62,37,,,,,,,,,,,,,,
DAGGETT.C,20180120,2359,0.02,,62,37,,,,,,,,,,,,,,
DAGGETT.C,20180121,2359,0.04,,61,37,,,,,,,,,,,,,,
DAGGETT.C,20180122,2359,0.00,,61,37,,,,,,,,,,,,,,
DAGGETT.C,20180123,2359,0.01,,62,37,,,,,,,,,,,,,,
DAGGETT.C,20180124,2359,0.00,,63,37,,,,,,,,,,,,,,
DAGGETT.C,20180125,2359,0.01,,62,37,,,,,,,,,,,,,,
DAGGETT.C,20180126,2359,0.00,,62,37,,,,,,,,,,,,,,
DAGGETT.C,20180127,2359,0.02,,62,38,,,,,,,,,,,,,,
DAGGETT.C,20180128,2359,0.02,,62,37,,,,,,,,,,,,,,
DAGGETT.C,20180129,2359,0.02,,63,37,,,,,,,,,,,,,,
DAGGETT.C,20180130,2359,0.00,,63,38,,,,,,,,,,,,,,
DAGGETT.C,20180131,2359,0.02,,62,37,,,,,,,,,,,,,,
DAGGETT.C,20180201,2359,0.00,,63,37,,,,,,,,,,,,,,
DAGGETT.C,20180202,2359,0.02,,62,37,,,,,,,,,,,,,,
DAGGETT.C,20180203,2359,0.02,,64,38,,,,,,,,,,,,,,
DAGGETT.C,20180204,2359,0.01,,64,38,,,,,,,,,,,,,,
DAGGETT.C,20180205,2359,0.01,,64,37,,,,,,,,,,,,,,
DAGGETT.C,20180206,2359,0.01,,63,37,,,,,,,,,,,,,,
DAGGETT.C,20180207,2359,0.03,,63,38,,,,,,,,,,,,,,
DAGGETT.C,20180208,2359,0.04,,63,40,,,,,,,,,,,,,,
DAGGETT.C,20180209,2359,0.02,,64,39,,,,,,,,,,,,,,
DAGGETT.C,20180210,2359,0.02,,64,40,,,,,,,,,,,,,,
DAGGETT.C,20180211,2359,0.02,,64,39,,,,,,,,,,,,,,
DAGGETT.C,20180212,2359,0.05,,65,40,,,,,,,,,,,,,,
DAGGETT.C,20180213,2359,0.02,,65,40,,,,,,,,,,,,,,
DAGGETT.C,20180214,2359,0.03,,66,41,,,,,,,,,,,,,,
DAGGETT.C,20180215,2359,0.02,,66,41,,,,,,,,,,,,,,
DAGGETT.C,20180216,2359,0.01,,67,42,,,,,,,,,,,,,,
DAGGETT.C,20180217,2359,0.01,,67,43,,,,,,,,,,,,,,
DAGGETT.C,20180218,2359,0.04,,67,42,,,,,,,,,,,,,,
DAGGETT.C,20180219,2359,0.04,,66,43,,,,,,,,,,,,,,
DAGGETT.C,20180220,2359,0.03,,66,43,,,,,,,,,,,,,,
DAGGETT.C,20180221,2359,0.02,,66,41,,,,,,,,,,,,,,
DAGGETT.C,20180222,2359,0.04,,68,42,,,,,,,,,,,,,,
DAGGETT.C,20180223,2359,0.05,,67,41,,,,,,,,,,,,,,
DAGGETT.C,20180224,2359,0.01,,68,42,,,,,,,,,,,,,,
DAGGETT.C,20180225,2359,0.03,,67,43,,,,,,,,,,,,,,
DAGGETT.C,20180226,2359,0.01,,68,43,,,,,,,,,,,,,,
DAGGETT.C,20180227,2359,0.02,,67,44,,,,,,,,,,,,,,
DAGGETT.C,20180228,2359,0.02,,68,43,,,,,,,,,,,,,,
DAGGETT.C,20180301,2359,0.05,,67,43,,,,,,,,,,,,,,
DAGGETT.C,20180302,2359,0.04,,67,43,,,,,,,,,,,,,,
DAGGETT.C,20180303,2359,0.01,,68,43,,,,,,,,,,,,,,
DAGGETT.C,20180304,2359,0.02,,68,42,,,,,,,,,,,,,,
DAGGETT.C,20180305,2359,0.05,,68,43,,,,,,,,,,,,,,
DAGGETT.C,20180306,2359,0.05,,68,43,,,,,,,,,,,,,,
DAGGETT.C,20180307,2359,0.03,,69,44,,,,,,,,,,,,,,
DAGGETT.C,20180308,2359,0.01,,71,45,,,,,,,,,,,,,,
DAGGETT.C,20180309,2359,0.00,,73,45,,,,,,,,,,,,,,
DAGGETT.C,20180310,2359,0.01,,73,46,,,,,,,,,,,,,,
DAGGETT.C,20180311,2359,0.02,,70,46,,,,,,,,,,,,,,
DAGGETT.C,20180312,2359,0.00,,73,46,,,,,,,,,,,,,,
DAGGETT.C,20180313,2359,0.01,,72,46,,,,,,,,,,,,,,
DAGGETT.C,20180314,2359,0.01,,72,45,,,,,,,,,,,,,,
DAGGETT.C,20180315,2359,0.01,,71,45,,,,,,,,,,,,,,
DAGGETT.C,20180316,2359,0.02,,72,45,,,,,,,,,,,,,,
DAGGETT.C,20180317,2359,0.00,,73,46,,,,,,,,,,,,,,
DAGGETT.C,20180318,2359,0.01,,74,47,,,,,,,,,,,,,,
DAGGETT.C,20180319,2359,0.01,,75,47,,,,,,,,,,,,,,
DAGGETT.C,20180320,2359,0.01,,74,48,,,,,,,,,,,,,,
DAGGETT.C,20180321,2359,0.02,,74,47,,,,,,,,,,,,,,
DAGGETT.C,20180322,2359,0.00,,76,47,,,,,,,,,,,,,,
DAGGETT.C,20180323,2359,0.01,,74,47,,,,,,,,,,,,,,
DAGGETT.C,20180324,2359,0.01,,75,47,,,,,,,,,,,,,,
DAGGETT.C,20180325,2359,0.01,,73,48,,,,,,,,,,,,,,
DAGGETT.C,20180326,2359,0.01,,73,47,,,,,,,,,,,,,,
DAGGETT.C,20180327,2359,0.06,,72,48,,,,,,,,,,,,,,
DAGGETT.C,20180328,2359,0.01,,72,46,,,,,,,,,,,,,,
DAGGETT.C,20180329,2359,0.00,,74,46,,,,,,,,,,,,,,
DAGGETT.C,20180330,2359,0.00,,75,46,,,,,,,,,,,,,,
DAGGETT.C,20180331,2359,0.01,,77,48,,,,,,,,,,,,,,
DAGGETT.C,20180401,2359,0.02,,75,48,,,,,,,,,,,,,,
DAGGETT.C,20180402,2359,0.00,,75,47,,,,,,,,,,,,,,
DAGGETT.C,20180403,2359,0.00,,75,49,,,,,,,,,,,,,,
DAGGETT.C,20180404,2359,0.01,,77,48,,,,,,,,,,,,,,
DAGGETT.C,20180405,2359,0.00,,77,49,,,,,,,,,,,,,,
DAGGETT.C,20180406,2359,0.00,,77,50,,,,,,,,,,,,,,
DAGGETT.C,20180407,2359,0.00,,79,50,,,,,,,,,,,,,,
DAGGETT.C,20180408,2359,0.00,,79,50,,,,,,,,,,,,,,
DAGGETT.C,20180409,2359,0.00,,79,50,,,,,,,,,,,,,,
DAGGETT.C,20180410,2359,0.00,,79,51,,,,,,,,,,,,,,
DAGGETT.C,20180411,2359,0.01,,78,51,,,,,,,,,,,,,,
DAGGETT.C,20180412,2359,0.02,,78,50,,,,,,,,,,,,,,
DAGGETT.C,20180413,2359,0.00,,81,49,,,,,,,,,,,,,,
DAGGETT.C,20180414,2359,0.02,,80,51,,,,,,,,,,,,,,
DAGGETT.C,20180415,2359,0.01,,79,50,,,,,,,,,,,,,,
DAGGETT.C,20180416,2359,0.01,,79,50,,,,,,,,,,,,,,
DAGGETT.C,20180417,2359,0.00,,80,52,,,,,,,,,,,,,,
DAGGETT.C,20180418,2359,0.00,,78,52,,,,,,,,,,,,,,
DAGGETT.C,20180419,2359,0.00,,78,50,,,,,,,,,,,,,,
DAGGETT.C,20180420,2359,0.01,,79,51,,,,,,,,,,,,,,
DAGGETT.C,20180421,2359,0.01,,80,52,,,,,,,,,,,,,,
DAGGETT.C,20180422,2359,0.00,,80,53,,,,,,,,,,,,,,
DAGGETT.C,20180423,2359,0.00,,81,53,,,,,,,,,,,,,,
DAGGETT.C,20180424,2359,0.00,,81,53,,,,,,,,,,,,,,
DAGGETT.C,20180425,2359,0.00,,82,54,,,,,,,,,,,,,,
DAGGETT.C,20180426,2359,0.00,,83,54,,,,,,,,,,,,,,
DAGGETT.C,20180427,2359,0.00,,84,55,,,,,,,,,,,,,,
DAGGETT.C,20180428,2359,0.00,,84,55,,,,,,,,,,,,,,
DAGGETT.C,20180429,2359,0.01,,84,55,,,,,,,,,,,,,,
DAGGETT.C,20180430,2359,0.01,,83,55,,,,,,,,,,,,,,
DAGGETT.C,20180501,2359,0.00,,85,56,,,,,,,,,,,,,,
DAGGETT.C,20180502,2359,0.00,,86,56,,,,,,,,,,,,,,
DAGGETT.C,20180503,2359,0.00,,86,57,,,,,,,,,,,,,,
DAGGETT.C,20180504,2359,0.00,,85,57,,,,,,,,,,,,,,
DAGGETT.C,20180505,2359,0.00,,85,56,,,,,,,,,,,,,,
DAGGETT.C,20180506,2359,0.00,,86,57,,,,,,,,,,,,,,
DAGGETT.C,20180507,2359,0.00,,87,58,,,,,,,,,,,,,,
DAGGETT.C,20180508,2359,0.01,,88,58,,,,,,,,,,,,,,
DAGGETT.C,20180509,2359,0.00,,87,58,,,,,,,,,,,,,,
DAGGETT.C,20180510,2359,0.00,,86,58,,,,,,,,,,,,,,
DAGGETT.C,20180511,2359,0.00,,88,58,,,,,,,,,,,,,,
DAGGETT.C,20180512,2359,0.01,,88,58,,,,,,,,,,,,,,
DAGGETT.C,20180513,2359,0.00,,89,59,,,,,,,,,,,,,,
DAGGETT.C,20180514,2359,0.00,,91,60,,,,,,,,,,,,,,
DAGGETT.C,20180515,2359,0.01,,89,61,,,,,,,,,,,,,,
DAGGETT.C,20180516,2359,0.00,,89,60,,,,,,,,,,,,,,
DAGGETT.C,20180517,2359,0.00,,90,60,,,,,,,,,,,,,,
DAGGETT.C,20180518,2359,0.00,,91,61,,,,,,,,,,,,,,
DAGGETT.C,20180519,2359,0.00,,91,61,,,,,,,,,,,,,,
